GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.arrays,ArrayMatchers,32,0,2,0,5,0,3,0,2,0
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.file,FileMatchers,3,5,0,0,1,1,1,1,1,1
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.file,FileMatcher,17,124,2,10,6,36,3,7,1,3
ImageJTestSuite,com.github.baniuk.ImageJTestSuite,ConvertLists,3,72,0,4,1,13,1,4,1,2
ImageJTestSuite,com.github.baniuk.ImageJTestSuite,ConvertImageProcessors,15,55,3,7,4,12,4,5,1,3
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.tools.files,FileModifiers,3,26,0,0,1,6,1,2,1,2
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.dataaccess,DataLoader,103,0,6,0,22,0,9,0,6,0
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.dataaccess,ResourceLoader,76,0,4,0,18,0,4,0,2,0
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.imageprocessor,ImageProcessorMatchers,3,11,0,0,1,2,1,2,1,2
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.imageprocessor,PixelNumberMatcher,13,64,1,7,4,18,2,5,1,2
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.imageprocessor,PixelMatcher,5,32,0,2,2,12,1,3,1,2
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.datatoimage,RoiSaver,151,0,4,0,37,0,7,0,5,0
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.json,JsonMatchers,3,5,0,0,1,1,1,1,1,1
ImageJTestSuite,com.github.baniuk.ImageJTestSuite.matchers.json,JsonKeysMatcher,20,87,0,8,5,27,1,8,1,4
